wkt_geom,years,predicted,
"MultiPolygon (((768239.0971469001378864 1682421.08516575954854488, 768227.75134942634031177 1682379.10623585013672709, 767948.33766739792190492 1682407.46573027758859098, 767970.6975353411398828 1682464.07353600487112999, 768239.0971469001378864 1682421.08516575954854488)))",2021,1,
"MultiPolygon (((770899.34239014354534447 1681131.39116422878578305, 770940.55116379598621279 1681128.76674010278657079, 770992.57350697438232601 1681167.34217875986360013, 771011.16978643485344946 1681158.36758007411845028, 771025.30268895626068115 1681098.30220708809792995, 770909.3369713150896132 1681047.91733602457679808, 770880.68550080212298781 1681117.66875622933730483, 770899.34239014354534447 1681131.39116422878578305)))",2021,2,
"MultiPolygon (((768129.52322781155817211 1675128.67992831114679575, 768053.32931834331247956 1675105.27974853967316449, 768014.5510951541364193 1675184.05383117846213281, 767986.87100997881498188 1675251.21383936027996242, 768055.65101912664249539 1675277.36393210268579423, 768129.52322781155817211 1675128.67992831114679575)))",2021,1,
"MultiPolygon (((764003.12452734191901982 1682815.19787381356582046, 764085.54909501341171563 1682798.74465615954250097, 764062.85033658368047327 1682761.95510415243916214, 763994.64535200141835958 1682775.80076961731538177, 764003.12452734191901982 1682815.19787381356582046)))",2021,1,
"MultiPolygon (((771708.39791251753922552 1684814.92756563099101186, 771737.82094308291561902 1684808.40457180491648614, 771767.9300093490164727 1684798.34668672457337379, 771727.47134638414718211 1684755.36266323109157383, 771689.09623390971682966 1684634.68090522871352732, 771636.01203585986513644 1684642.14746448071673512, 771649.90545385214500129 1684686.26246214564889669, 771667.77961521036922932 1684730.09150296053849161, 771708.39791251753922552 1684814.92756563099101186)))",2021,2,
"MultiPolygon (((771163.59008990577422082 1684304.30846218927763402, 771245.68098279985133559 1684289.20507418341003358, 771202.7505612374516204 1684004.5035747482907027, 771135.01415364537388086 1684079.66995197953656316, 771064.07035938638728112 1684134.76001844089478254, 771147.7028572125127539 1684181.56350434827618301, 771163.59008990577422082 1684304.30846218927763402)))",2021,1,
"MultiPolygon (((771879.21069684415124357 1683508.92037513665854931, 771823.39492505951784551 1683501.40872524539008737, 771695.85808640765026212 1683458.07987852348014712, 771724.73172258585691452 1683554.73661151621490717, 771873.29358795087318867 1683574.17367462813854218, 771879.21069684415124357 1683508.92037513665854931)))",2021,1,
"MultiPolygon (((771724.73172258585691452 1683554.73661151621490717, 771769.98168185423128307 1683731.74101190827786922, 771814.94588599633425474 1683729.38384397933259606, 771827.24423241638578475 1683568.10385008133016527, 771724.73172258585691452 1683554.73661151621490717)))",2021,2,
"MultiPolygon (((770337.22652345709502697 1685496.67056353506632149, 770393.41705716284923255 1685620.21217796579003334, 770502.72065373277291656 1685593.90708435908891261, 770573.69748349860310555 1685591.29517557309009135, 770582.99455360136926174 1685586.75263081165030599, 770602.08388342929538339 1685581.32684702263213694, 770603.36597782745957375 1685572.70594972907565534, 770608.89613206405192614 1685540.66271953098475933, 770596.11737716407515109 1685446.51856644498184323, 770337.22652345709502697 1685496.67056353506632149)))",2021,1,
"MultiPolygon (((771573.25677917315624654 1686669.27760546212084591, 771769.57283566182013601 1686647.53208982618525624, 771805.4046510097105056 1686542.54731771885417402, 771583.88244924589525908 1686550.27139525231905282, 771573.25677917315624654 1686669.27760546212084591),(771713.71255378471687436 1686588.97914946614764631, 771742.61096641735639423 1686590.42193809361197054, 771738.5987792668165639 1686630.45428528217598796, 771713.20729053998365998 1686632.48439683928154409, 771713.71255378471687436 1686588.97914946614764631)))",2021,2,
"MultiPolygon (((773547.1949290547054261 1685615.00120003358460963, 773562.14359156205318868 1685476.44787621661089361, 773508.0987627012655139 1685464.96622049016878009, 773500.59920419356785715 1685610.02811464807018638, 773547.1949290547054261 1685615.00120003358460963)))",2021,2,
"MultiPolygon (((758028.38973528449423611 1686931.9969862480647862, 758036.44836305815260857 1686834.77646034397184849, 758032.30108778597787023 1686791.77729198266752064, 758004.09484360215719789 1686786.26304780202917755, 757991.03563370858319104 1686917.85755612165667117, 758028.38973528449423611 1686931.9969862480647862)))",2021,1,
"MultiPolygon (((773007.28494949149899185 1685269.79627032927237451, 773011.58166351320687681 1685168.65175361768342555, 773027.85080683417618275 1685073.29334774008020759, 773001.34687218675389886 1685059.91984856128692627, 772925.42440859717316926 1685043.86679041036404669, 772920.38210626342333853 1685172.12801442225463688, 772949.13535856874659657 1685186.19195274473167956, 772940.15106060239486396 1685256.05983838043175638, 773007.28494949149899185 1685269.79627032927237451)))",2021,2,
"MultiPolygon (((774088.78031931072473526 1684281.99172462499700487, 774117.74676901591010392 1684167.62779015209525824, 774045.99539935286156833 1684143.98081363458186388, 774005.38807023176923394 1684251.78706061141565442, 774021.00122835137881339 1684258.83410359267145395, 774088.78031931072473526 1684281.99172462499700487)))",2021,2,
"MultiPolygon (((774092.16320961597375572 1683165.34035380138084292, 774092.24376568710431457 1683195.23485196055844426, 774165.38360644259955734 1683155.56761251483112574, 774134.42645779345184565 1683145.90541949239559472, 774092.16320961597375572 1683165.34035380138084292)))",2021,1,
"MultiPolygon (((773932.74851430114358664 1683375.16772517142817378, 774085.29296342306770384 1683201.2430223086848855, 774082.91481958294752985 1683165.56438959296792746, 773906.73503889213316143 1683282.85815892205573618, 773932.74851430114358664 1683375.16772517142817378)))",2021,2,
"MultiPolygon (((774183.82338810060173273 1684832.26049932278692722, 774190.13826528994832188 1684788.71188130369409919, 774055.26437803625594825 1684739.30364966718479991, 774039.15940777980722487 1684774.32322590402327478, 774183.82338810060173273 1684832.26049932278692722)))",2021,2,
"MultiPolygon (((774022.73093170486390591 1684129.31553746550343931, 774054.82600453007034957 1684023.18120125657878816, 774116.56028819701168686 1683929.01881711324676871, 774079.50176607561297715 1683898.80251983716152608, 773964.42571974243037403 1684068.18235988030210137, 773957.55562063492834568 1684094.89551859488710761, 774022.73093170486390591 1684129.31553746550343931)))",2021,2,
"MultiPolygon (((772343.97472858405672014 1683470.47222544392570853, 772338.65246255649253726 1683428.8920807687100023, 772288.88453593279700726 1683437.50333613809198141, 772234.60329968994483352 1683445.95156081742607057, 772246.81804677634499967 1683486.50454625813290477, 772343.97472858405672014 1683470.47222544392570853)))",2021,1,
"MultiPolygon (((764209.21395239268895239 1687140.16134576848708093, 764250.53038596350234002 1687050.73204214847646654, 764237.04943540995009243 1687026.22365157073363662, 764209.52362996339797974 1687008.08847296936437488, 764176.4144188609207049 1686979.92642306163907051, 764041.77871845732443035 1686957.2606697918381542, 764021.39453316235449165 1687020.57770139258354902, 764084.8864463510690257 1687023.28727267193607986, 764173.92723153240513057 1687047.87391169229522347, 764209.21395239268895239 1687140.16134576848708093)))",2021,1,
"MultiPolygon (((774353.92014608671888709 1684591.11727936845272779, 774318.19278471544384956 1684585.0522959481459111, 774274.11111834971234202 1684704.88568761898204684, 774203.8882079420145601 1684991.59591759392060339, 774231.53155074175447226 1684990.25883505935780704, 774268.43932526034768671 1684996.44833153812214732, 774291.40628026612102985 1684907.92211022786796093, 774317.60295261128339916 1684736.39580447669140995, 774353.92014608671888709 1684591.11727936845272779)))",2021,2,
"MultiPolygon (((772921.04832728835754097 1688275.40247758873738348, 772980.48568567202892154 1688275.54304854106158018, 772971.07473891950212419 1688188.63141698995605111, 772916.88382130698300898 1688190.21291397488676012, 772921.04832728835754097 1688275.40247758873738348)))",2021,2,
"MultiPolygon (((769364.75223886640742421 1683109.66665798309259117, 769354.88454511237796396 1683070.25014836038462818, 769218.5444208545377478 1683081.63771142740733922, 769035.01554545818362385 1683101.8951255043502897, 769010.20312804589048028 1683146.89197343681007624, 769364.75223886640742421 1683109.66665798309259117)))",2021,1,
